Country_Name,Country_Code,Continent,Birth_rate_60,Death_rate_60,Birth_rate_90,Death_rate_90,Birth_rate_15,Death_rate_15
Aruba,ABW,Latin America & Caribbean,35.679,6.389,19.571,7.061,10.044,8.667
Afghanistan,AFG,South Asia,51.276,32.403,49.029,15.555,33.314,8.034
Angola,AGO,Sub-Saharan Africa,54.423,32.356,52.688,23.397,44.998,13.424
Albania,ALB,Europe & Central Asia,40.925,11.328,24.789,5.99,13.632,7.463
United Arab Emirates,ARE,Middle East & North Africa,47.171,15.181,25.768,2.691,10.592,1.641
Argentina,ARG,Latin America & Caribbean,23.682,8.637,21.804,8.264,17.359,7.55
Armenia,ARM,Europe & Central Asia,36.696,9.518,21.6,8.453,13.008,9.316
Antigua and Barbuda,ATG,Latin America & Caribbean,32.92,9.098,18.779,7.137,16.202,6.087
Australia,AUS,East Asia & Pacific,22.4,8.6,15.4,7,12.7,6.6
Austria,AUT,Europe & Central Asia,17.9,12.7,11.8,10.8,9.8,9.6
Azerbaijan,AZE,Europe & Central Asia,42.267,12.979,25.9,6.1,17.2,5.7
Burundi,BDI,Sub-Saharan Africa,48.197,23.167,49.925,17.992,43.497,11.066
Belgium,BEL,Europe & Central Asia,16.8,12.4,12.4,10.4,10.9,9.8
Benin,BEN,Sub-Saharan Africa,44.307,28.827,46.302,14.471,35.592,9.244
Burkina Faso,BFA,Sub-Saharan Africa,47.24,28.562,47.417,17.005,39.53,9.343
Bangladesh,BGD,South Asia,49.022,20.258,35.385,10.292,19.455,5.35
Bulgaria,BGR,Europe & Central Asia,17.8,8.1,12.1,12.5,9.2,15.3
Bahrain,BHR,Middle East & North Africa,45.946,14.731,29.268,3.387,14.205,2.367
Bahamas,BHS,Caribbean,34.388,8.285,23.864,5.495,15.044,6.234
Bosnia and Herzegovina,BIH,Latin America & Caribbean,31.333,9.639,14.664,7.554,8.818,10.69
Belarus,BLR,Europe & Central Asia,23.926,9.946,14,10.8,12.5,12.6
Belize,BLZ,Latin America & Caribbean,44.967,11.181,35.862,5.407,22.758,5.568
Bermuda,BMU,North America,28.3,9.9,14.6,7.3,9.4,7.4
Bolivia,BOL,Latin America & Caribbean,44.539,23.772,35.396,12.797,23.591,7.359
Brazil,BRA,Latin America & Caribbean,43.124,13.41,24.266,7.175,14.513,6.163
Barbados,BRB,Latin America & Caribbean,30.576,12.457,16.025,9.687,12.011,10.65
Brunei Darussalam,BRN,East Asia & Pacific,42.779,9.207,31.519,3.742,15.691,3.024
Bhutan,BTN,South Asia,50.286,31.266,37.88,13.395,17.404,6.218
Botswana,BWA,Sub-Saharan Africa,46.992,16.486,34.509,7.247,24.57,7.536
Central African Republic,CAF,Sub-Saharan Africa,43.715,27.975,41.05,16.823,33.435,14.088
Canada,CAN,North America,26.7,7.8,15,7.3,10.9,7.5
Switzerland,CHE,Europe & Central Asia,17.7,9.8,12.5,9.5,10.2,8.1
Channel Islands,CHI,Europe & Central Asia,16.068,12.155,12.343,10.789,9.41,9.05
Chile,CHL,Latin America & Caribbean,36.038,12.355,21.706,6.136,13.048,5.137
China,CHN,East Asia & Pacific,20.86,25.43,21.06,6.67,12.1,7.1
Cote d'Ivoire,CIV,Sub-Saharan Africa,54.333,27.733,42.933,13.722,36.895,13.323
